APPLOG - 2018-04-25 15:36:21 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update info update sistem|
APPLOG - 2018-04-25 15:36:29 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|data info berhasil dirubah|<ul><li>tessasdasdsadsadsadsadsa</li><li>assssadadasdsadsadsa</li><li>sadaasdsadsadsa<br></li></ul>|1|2018-04-25 15:36:29|
APPLOG - 2018-04-25 15:36:29 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update info update sistem|
APPLOG - 2018-04-25 15:37:22 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update info update sistem|
APPLOG - 2018-04-25 15:37:56 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:37:57 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-25 15:40:28 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:42:31 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:49:14 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
ERROR - 2018-04-25 15:49:14 --> Severity: Parsing Error --> syntax error, unexpected end of file /var/www/html/app-development/application/views/element/v_header.php 309
APPLOG - 2018-04-25 15:50:46 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
ERROR - 2018-04-25 15:50:46 --> Severity: Parsing Error --> syntax error, unexpected end of file /var/www/html/app-development/application/views/element/v_header.php 309
APPLOG - 2018-04-25 15:52:07 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
ERROR - 2018-04-25 15:52:07 --> Severity: Warning --> Invalid argument supplied for foreach() /var/www/html/app-development/application/views/element/v_header.php 88
APPLOG - 2018-04-25 15:52:30 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:52:37 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-25 15:52:41 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/inactive_project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman inactive project|
ERROR - 2018-04-25 15:52:41 --> Severity: Warning --> Invalid argument supplied for foreach() /var/www/html/app-development/application/views/element/v_header.php 88
APPLOG - 2018-04-25 15:53:25 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/inactive_project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman inactive project|
APPLOG - 2018-04-25 15:53:29 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/inactive_project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman inactive project|
APPLOG - 2018-04-25 15:53:32 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman icl|
APPLOG - 2018-04-25 15:53:34 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-25 15:53:37 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/view_project/P000000032/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman view project|
APPLOG - 2018-04-25 15:53:39 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-25 15:53:41 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000032/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update project|
APPLOG - 2018-04-25 15:53:43 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman icl|
APPLOG - 2018-04-25 15:53:45 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/view_icl/ICL0000002/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman view icl|
APPLOG - 2018-04-25 15:53:47 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman icl|
APPLOG - 2018-04-25 15:53:49 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/update_icl/ICL0000002/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman update icl|
APPLOG - 2018-04-25 15:53:51 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman icl|
APPLOG - 2018-04-25 15:53:53 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>icl/inactive_icl/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk halaman view inactive icl|
APPLOG - 2018-04-25 15:53:56 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>users/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman user|
APPLOG - 2018-04-25 15:53:59 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:54:11 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update info update sistem|
ERROR - 2018-04-25 15:54:11 --> Severity: Warning --> Invalid argument supplied for foreach() /var/www/html/app-development/application/views/element/v_header.php 88
APPLOG - 2018-04-25 15:56:22 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/add_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|data info berhasil ditambahkan|<ul><li>Perbaikan bug project yg sudah di close menjadi expired saat end_date < hari ini</li><li>Penambahan notifikasi informasi jika ada update aplikasi Dashboard Project</li><li>Penambahan role TL dengan fungsi create,view,update ICL<br></li></ul>|1|2018-04-25 15:56:22|
APPLOG - 2018-04-25 15:56:22 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update info update sistem|
ERROR - 2018-04-25 15:56:22 --> Severity: Warning --> Invalid argument supplied for foreach() /var/www/html/app-development/application/views/element/v_header.php 88
APPLOG - 2018-04-25 15:56:26 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:57:11 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update info update sistem|
