APPLOG - 2018-04-24 10:40:46 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:40:50 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:47:20 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:47:26 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:48:18 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
ERROR - 2018-04-24 10:48:22 --> Severity: Parsing Error --> syntax error, unexpected 'else' (T_ELSE) /var/www/html/app-development/application/controllers/Login.php 10
ERROR - 2018-04-24 10:48:25 --> Severity: Parsing Error --> syntax error, unexpected 'else' (T_ELSE) /var/www/html/app-development/application/controllers/Login.php 10
APPLOG - 2018-04-24 10:48:52 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:48:54 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:49:00 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/logout/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|berhasil logout|
ERROR - 2018-04-24 10:49:57 --> Severity: Parsing Error --> syntax error, unexpected 'else' (T_ELSE) /var/www/html/app-development/application/controllers/Login.php 10
ERROR - 2018-04-24 10:49:59 --> Severity: Parsing Error --> syntax error, unexpected 'else' (T_ELSE) /var/www/html/app-development/application/controllers/Login.php 10
ERROR - 2018-04-24 10:52:56 --> Severity: Parsing Error --> syntax error, unexpected 'else' (T_ELSE) /var/www/html/app-development/application/controllers/Login.php 10
ERROR - 2018-04-24 10:52:57 --> Severity: Parsing Error --> syntax error, unexpected 'else' (T_ELSE) /var/www/html/app-development/application/controllers/Login.php 10
APPLOG - 2018-04-24 10:55:45 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/cek_login/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|berhasil login|
APPLOG - 2018-04-24 10:55:47 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:55:51 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:55:59 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:56:03 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:56:24 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:56:45 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 10:56:49 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/logout/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|berhasil logout|
APPLOG - 2018-04-24 11:40:09 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/cek_login/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|berhasil login|
APPLOG - 2018-04-24 11:40:09 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 11:40:18 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman list project|
APPLOG - 2018-04-24 11:40:25 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000025/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:40:51 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000025/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:41:49 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000025/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:42:30 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000025/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:43:02 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman list project|
APPLOG - 2018-04-24 11:43:05 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000031/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:43:13 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman list project|
APPLOG - 2018-04-24 11:43:16 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000025/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:45:41 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000025/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman update project|
APPLOG - 2018-04-24 11:45:49 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>7<br><b>Username:</b>Irvan<br><b>Role ID:</b>3<br><b>Data:</b>Irvan|masuk ke halaman list project|
